CREATE TABLE Transaction_analysis (
  `Transaction_ID` INTEGER,
  `Date` DATETIME,
  `Customer_ID` INTEGER,
  `State` VARCHAR(2),
  `Amount` INTEGER,
  `Review_Flags` VARCHAR(4)
);

INSERT INTO Transaction_analysis
  (`Transaction_ID`, `Date`, `Customer_ID`, `State`, `Amount`, `Review_Flags`)
VALUES
  ('154', '2026-03-02', '14', 'NC', '1109', 'Flag'),
  ('148', '2026-03-03', '23', 'SC', '872', 'Good'),
  ('288', '2026-03-04', '10', 'NC', '812', 'Good'),
  ('224', '2026-03-05', '28', 'SC', '976', 'Good'),
  ('263', '2026-03-06', '5', 'NC', '191', 'Good'),
  ('237', '2026-03-09', '18', 'SC', '1153', 'Flag'),
  ('294', '2026-03-10', '14', 'NC', '845', 'Good'),
  ('271', '2026-03-11', '24', 'SC', '1248', 'Flag'),
  ('182', '2026-03-12', '26', 'NC', '523', 'Good'),
  ('236', '2026-03-13', '11', 'SC', '360', 'Good'),
  ('290', '2026-03-16', '12', 'NC', '1314', 'Flag'),
  ('220', '2026-03-17', '30', 'SC', '624', 'Good'),
  ('210', '2026-03-18', '14', 'NC', '1037', 'Flag'),
  ('127', '2026-03-19', '25', 'SC', '237', 'Good'),
  ('265', '2026-03-20', '23', 'NC', '265', 'Good'),
  ('295', '2026-03-23', '25', 'SC', '1409', 'Flag'),
  ('288', '2026-03-24', '29', 'NC', '584', 'Good'),
  ('136', '2026-03-25', '17', 'SC', '259', 'Good'),
  ('162', '2026-03-26', '26', 'NC', '1290', 'Flag'),
  ('155', '2026-03-27', '26', 'SC', '494', 'Good'),
  ('292', '2026-03-30', '8', 'NC', '718', 'Good'),
  ('276', '2026-03-31', '22', 'SC', '413', 'Good'),
  ('180', '2026-04-01', '19', 'NC', '418', 'Good'),
  ('257', '2026-04-02', '26', 'SC', '726', 'Good'),
  ('280', '2026-04-03', '6', 'NC', '460', 'Good'),
  ('221', '2026-04-06', '7', 'SC', '290', 'Good'),
  ('282', '2026-04-07', '1', 'NC', '1213', 'Flag'),
  ('201', '2026-04-08', '29', 'SC', '156', 'Good'),
  ('283', '2026-04-09', '9', 'NC', '386', 'Good'),
  ('150', '2026-04-10', '6', 'SC', '684', 'Good'),
  ('172', '2026-04-13', '1', 'NC', '249', 'Good'),
  ('222', '2026-04-14', '12', 'SC', '1124', 'Flag'),
  ('254', '2026-04-15', '20', 'NC', '299', 'Good'),
  ('243', '2026-04-16', '1', 'SC', '199', 'Good'),
  ('132', '2026-04-17', '21', 'NC', '636', 'Good'),
  ('160', '2026-04-20', '13', 'SC', '708', 'Good'),
  ('141', '2026-04-21', '28', 'NC', '840', 'Good'),
  ('167', '2026-04-22', '24', 'SC', '865', 'Good'),
  ('220', '2026-04-23', '21', 'NC', '1205', 'Flag'),
  ('139', '2026-04-24', '28', 'SC', '1284', 'Flag'),
  ('250', '2026-04-27', '12', 'NC', '1273', 'Flag'),
